rank,slug,name
1,johns-hopkins-university,Johns Hopkins University
2,university-of-pennsylvania,University of Pennsylvania
3,university-of-california-san-francisco,University of California-San Francisco
4,university-of-michigan-ann-arbor,University of Michigan-Ann Arbor
5,university-of-wisconsin-madison,University of Wisconsin-Madison
6,university-of-california-los-angeles,University of California-Los Angeles
7,university-of-california-san-diego,University of California-San Diego
8,university-of-washington-seattle-campus,University of Washington-Seattle Campus
9,stanford-university,Stanford University
10,cornell-university,Cornell University
11,university-of-north-carolina-at-chapel-hill,University of North Carolina at Chapel Hill
12,ohio-state-university-main-campus,Ohio State University-Main Campus
13,duke-university,Duke University
14,university-of-maryland-college-park,University of Maryland-College Park
15,georgia-institute-of-technology-main-campus,Georgia Institute of Technology-Main Campus
16,yale-university,Yale University
17,university-of-pittsburgh-pittsburgh-campus,University of Pittsburgh-Pittsburgh Campus
18,new-york-university,New York University
19,harvard-university,Harvard University
20,columbia-university-in-the-city-of-new-york,Columbia University in the City of New York
21,university-of-minnesota-twin-cities,University of Minnesota-Twin Cities
22,texas-a-and-m-university-college-station,Texas A & M University-College Station
23,the-university-of-texas-md-anderson-cancer-center,The University of Texas MD Anderson Cancer Center
24,vanderbilt-university,Vanderbilt University
25,pennsylvania-state-university-main-campus,Pennsylvania State University-Main Campus
26,university-of-florida,University of Florida
27,university-of-southern-california,University of Southern California
28,northwestern-university,Northwestern University
29,emory-university,Emory University
30,washington-university-in-st-louis,Washington University in St Louis
31,the-university-of-texas-at-austin,The University of Texas at Austin
32,university-of-california-berkeley,University of California-Berkeley
33,massachusetts-institute-of-technology,Massachusetts Institute of Technology
